,CE_Symbol / PE_Symbol ,CE_entry_time / PE_entry_time,CE_entry_price,PE_entry_price,PE_exit_time,PE_exit_price,CE_exit_time,CE_exit_price,PnL,PnL Cumulative Sum,Equity,Rate Of Return,Drawdown,Month-Year
0,BANKNIFTY2010232300CE / BANKNIFTY2010232300PE,2020-01-01 09:20:00,145.45,105.1,2020-01-01 09:45:00,135.1,2020-01-01 15:15:00,40.05,1885.0000000000002,1885.0000000000002,401885.0,0.47125000000000006,0.0,2020-01-01 09:20:00
0,BANKNIFTY2010232200CE / BANKNIFTY2010232200PE,2020-01-02 09:20:00,97.2,58.45,2020-01-02 09:54:00,88.45,2020-01-02 11:54:00,97.2,-750.0,1135.0000000000002,401135.0,-0.1875,-750.0,2020-01-02 09:20:00
0,BANKNIFTY2010932200CE / BANKNIFTY2010932200PE,2020-01-03 09:20:00,264.35,200.3,2020-01-03 09:43:00,230.3,2020-01-03 15:15:00,177.1,1431.2500000000014,2566.250000000002,402566.25,0.35781250000000037,0.0,2020-01-03 09:20:00
0,BANKNIFTY2010931700CE / BANKNIFTY2010931700PE,2020-01-06 09:32:00,247.35,329.45,2020-01-06 09:33:00,359.45,2020-01-06 09:38:00,247.35,-750.0000000000014,1816.2500000000005,401816.25,-0.18750000000000033,-750.0000000000014,2020-01-06 09:32:00
0,BANKNIFTY2010931700CE / BANKNIFTY2010931700PE,2020-01-07 09:20:00,220.35,180.0,2020-01-07 09:58:00,180.0,2020-01-07 09:22:00,250.35,-749.9999999999993,1066.2500000000011,401066.25,-0.18749999999999983,-1500.0000000000007,2020-01-07 09:20:00
0,BANKNIFTY2010930900CE / BANKNIFTY2010930900PE,2020-01-08 09:20:00,281.95,260.9,2020-01-08 15:15:00,74.2,2020-01-08 09:21:00,311.95,3917.499999999998,4983.749999999999,404983.75,0.9793749999999996,0.0,2020-01-08 09:20:00
0,BANKNIFTY2010931800CE / BANKNIFTY2010931800PE,2020-01-09 09:20:00,145.0,96.7,2020-01-09 09:34:00,126.7,2020-01-09 10:32:00,145.0,-750.0000000000003,4233.749999999999,404233.75,-0.18750000000000008,-750.0,2020-01-09 09:20:00
0,BANKNIFTY2011632200CE / BANKNIFTY2011632200PE,2020-01-10 09:20:00,291.35,282.95,2020-01-10 09:22:00,312.95,2020-01-10 09:24:00,291.35,-750.0000000000014,3483.7499999999977,403483.75,-0.18750000000000033,-1500.0000000000014,2020-01-10 09:20:00
0,BANKNIFTY2011632300CE / BANKNIFTY2011632300PE,2020-01-13 09:20:00,261.7,257.3,2020-01-13 09:38:00,287.3,2020-01-13 15:15:00,190.65,1026.2500000000002,4509.999999999998,404510.0,0.2565625000000001,-473.7500000000009,2020-01-13 09:20:00
0,BANKNIFTY2011632100CE / BANKNIFTY2011632100PE,2020-01-14 09:20:00,216.05,240.35,2020-01-14 15:15:00,181.2,2020-01-14 15:15:00,211.05,1603.7499999999995,6113.749999999998,406113.75,0.4009374999999999,0.0,2020-01-14 09:20:00
